% Model:              weld_defect_v3.mph (Filtered for 8MHz mesh limit)
% Version:            COMSOL 6.4.0.429
% Date:               Sep 21 2026, 11:14
% Table:              Table 4 - Point Evaluation 1 (Smoothed 8MHz limit)
% C_m (s/m)              Time (s)                 Velocity, Z-component (m/s), Point: (0, 0)
1.0E-6                   0                        -7.20E-6
1.0E-6                   1.0E-10                  -5.29E-4
1.0E-6                   2.0E-10                  -4.94E-4
1.0E-6                   3.0E-10                  -6.45E-4
1.0E-6                   4.0E-10                  -7.44E-4
1.0E-6                   5.0E-10                  -8.40E-4
1.0E-6                   6.0E-10                  -1.02E-3
1.0E-6                   7.0E-10                  -1.15E-3
1.0E-6                   8.0E-10                  -1.35E-3
1.0E-6                   9.0E-10                  -1.58E-3
1.0E-6                   1.0E-9                   -1.82E-3
1.0E-6                   2.0E-9                   -6.87E-3
1.0E-6                   3.0E-9                   -2.05E-2
1.0E-6                   4.0E-9                   -5.10E-2
1.0E-6                   5.0E-9                   -9.69E-2
1.0E-6                   6.0E-9                   0.112
1.0E-6                   7.0E-9                   1.414
1.0E-6                   8.0E-9                   1.002
1.0E-6                   9.0E-9                   -0.040
1.0E-6                   1.0E-8                   -0.187
1.0E-6                   1.1E-8                   1.298
1.0E-6                   1.2E-8                   0.046
1.0E-6                   1.3E-8                   -0.021
1.0E-6                   1.4E-8                   -0.292
1.0E-6                   1.5E-8                   0.857
1.0E-6                   1.6E-8                   0.271
1.0E-6                   1.7E-8                   -0.186
1.0E-6                   1.8E-8                   -0.404
1.0E-6                   1.9E-8                   0.183
1.0E-6                   2.0E-8                   -0.808
1.0E-6                   2.1E-8                   0.263
1.0E-6                   2.2E-8                   -0.266
1.0E-6                   2.3E-8                   0.606
1.0E-6                   2.4E-8                   -0.180
1.0E-6                   2.5E-8                   -0.076
1.0E-6                   2.6E-8                   -0.300
1.0E-6                   2.7E-8                   -0.100
1.0E-6                   2.8E-8                   0.135
1.0E-6                   2.9E-8                   -0.012
1.0E-6                   3.0E-8                   -0.071
