% Model:              weld_defect_v2.mph
% Version:            COMSOL 6.4.0.429
% Date:               Sep 23 2026, 13:36
% Table:              Table 4 - Point Evaluation 1
% C_m (s/m)              Time (s)                 Velocity, Z-component (m/s), Point: (0, 0)
1.0E-6                   0                        -9.00761644883452E-6
1.0E-6                   1.0000000000000002E-10   -6.483831333621247E-4
1.0E-6                   2.0000000000000003E-10   -6.041070651545506E-4
1.0E-6                   3.0000000000000005E-10   -7.904260692268418E-4
1.0E-6                   4.0000000000000007E-10   -9.092044390663753E-4
1.0E-6                   5.000000000000001E-10    -0.0010273279822146718
1.0E-6                   6.000000000000001E-10    -0.0012566941037755496
1.0E-6                   7.000000000000001E-10    -0.001414475849908554
1.0E-6                   8.000000000000001E-10    -0.0016617645456214077
1.0E-6                   9.000000000000002E-10    -0.0019419311505048447
1.0E-6                   1.0000000000000003E-9    -0.002228407041391174
1.0E-6                   1.1000000000000001E-9    -0.0025987117304221256
1.0E-6                   1.2000000000000002E-9    -0.0029594797407876262
1.0E-6                   1.3000000000000003E-9    -0.0033798727057713957
1.0E-6                   1.4000000000000001E-9    -0.0038796037257391347
1.0E-6                   1.5000000000000002E-9    -0.004437584169568035
1.0E-6                   1.6000000000000003E-9    -0.005086835952165379
1.0E-6                   1.7000000000000003E-9    -0.005787788497884926
1.0E-6                   1.8000000000000004E-9    -0.006582924567904469
1.0E-6                   1.9000000000000005E-9    -0.007468288363952732
1.0E-6                   2.0000000000000005E-9    -0.008405381466032188
1.0E-6                   2.1E-9                   -0.009515829997123295
1.0E-6                   2.2000000000000003E-9    -0.010863873025175108
1.0E-6                   2.3000000000000003E-9    -0.012256385826442978
1.0E-6                   2.4000000000000004E-9    -0.013439943197401449
1.0E-6                   2.5000000000000005E-9    -0.01464670921546388
1.0E-6                   2.6000000000000005E-9    -0.016535334185960992
1.0E-6                   2.7000000000000006E-9    -0.019154578454244734
1.0E-6                   2.8000000000000003E-9    -0.02160547687357093
1.0E-6                   2.9000000000000003E-9    -0.02321478923281643
1.0E-6                   3.0000000000000004E-9    -0.024677859691636054
1.0E-6                   3.1000000000000005E-9    -0.027342047955074993
1.0E-6                   3.2000000000000005E-9    -0.03127524639185
1.0E-6                   3.3000000000000006E-9    -0.0350786412719751
1.0E-6                   3.4000000000000007E-9    -0.03796720663718648
1.0E-6                   3.5000000000000007E-9    -0.040780105184193484
1.0E-6                   3.600000000000001E-9     -0.04440831659217452
1.0E-6                   3.7000000000000005E-9    -0.04861311090289599
1.0E-6                   3.800000000000001E-9     -0.052984445530766346
1.0E-6                   3.900000000000001E-9     -0.05760373165049873
1.0E-6                   4.000000000000001E-9     -0.06238367205760103
1.0E-6                   4.1E-9                   -0.06706467018254753
1.0E-6                   4.2E-9                   -0.07181228628563043
1.0E-6                   4.3000000000000005E-9    -0.07694952076403813
1.0E-6                   4.4000000000000005E-9    -0.08256589098107524
1.0E-6                   4.500000000000001E-9     -0.08871510250453367
1.0E-6                   4.600000000000001E-9     -0.09527714719588516
1.0E-6                   4.700000000000001E-9     -0.1016993236644475
1.0E-6                   4.800000000000001E-9     -0.10755711754203603
1.0E-6                   4.900000000000001E-9     -0.11301967580677687
1.0E-6                   5.000000000000001E-9     -0.11860788517781806
1.0E-6                   5.100000000000001E-9     -0.12420583526833047
1.0E-6                   5.200000000000001E-9     -0.12879468443527714
1.0E-6                   5.300000000000001E-9     -0.13113411927204272
1.0E-6                   5.400000000000001E-9     -0.12961302793661972
1.0E-6                   5.500000000000001E-9     -0.12230214813583327
1.0E-6                   5.6000000000000005E-9    -0.10698991776339846
1.0E-6                   5.7000000000000006E-9    -0.08053488348947006
1.0E-6                   5.800000000000001E-9     -0.038255286030273866
1.0E-6                   5.900000000000001E-9     0.026215673116767726
1.0E-6                   6.000000000000001E-9     0.11995555501403125
1.0E-6                   6.100000000000001E-9     0.25015364463651474
1.0E-6                   6.200000000000001E-9     0.4248974235159429
1.0E-6                   6.300000000000001E-9     0.653829098379185
1.0E-6                   6.400000000000001E-9     0.9454845113610694
1.0E-6                   6.500000000000001E-9     1.2994818398449086
1.0E-6                   6.600000000000001E-9     1.6990429782139504
1.0E-6                   6.700000000000001E-9     2.1211112659969085
1.0E-6                   6.800000000000001E-9     2.5027970524025025
1.0E-6                   6.900000000000001E-9     2.0854248242968416
1.0E-6                   7.0000000000000015E-9    2.7369740382011747
1.0E-6                   7.1000000000000015E-9    2.1453112751413568
1.0E-6                   7.200000000000002E-9     2.4745242107336036
1.0E-6                   7.300000000000001E-9     3.4035953154805125
1.0E-6                   7.400000000000001E-9     2.0309895694340385
1.0E-6                   7.500000000000001E-9     2.8008047677832844
1.0E-6                   7.600000000000002E-9     2.8270130451488846
1.0E-6                   7.700000000000001E-9     3.2050944596186204
1.0E-6                   7.800000000000002E-9     1.83209564664373
1.0E-6                   7.900000000000001E-9     1.0537896063081997
1.0E-6                   8.000000000000002E-9     2.965420944106603
1.0E-6                   8.100000000000001E-9     2.226817931631039
1.0E-6                   8.2E-9                   1.194327690222142
1.0E-6                   8.300000000000002E-9     1.1601058929098127
1.0E-6                   8.4E-9                   1.0249780926291805
1.0E-6                   8.500000000000002E-9     1.047469840658026
1.0E-6                   8.600000000000001E-9     0.8327321995025064
1.0E-6                   8.700000000000002E-9     0.3231196219990532
1.0E-6                   8.800000000000001E-9     0.7418271863658726
1.0E-6                   8.900000000000002E-9     0.2923304784574291
1.0E-6                   9.000000000000001E-9     0.5921887994131046
1.0E-6                   9.100000000000002E-9     0.7460292027978808
1.0E-6                   9.200000000000001E-9     0.30339108242712887
1.0E-6                   9.300000000000002E-9     0.5210585738060161
1.0E-6                   9.400000000000001E-9     0.3962058375301863
1.0E-6                   9.500000000000002E-9     0.5308857972230343
1.0E-6                   9.600000000000002E-9     0.2663888744715964
1.0E-6                   9.700000000000001E-9     0.1388575191599132
1.0E-6                   9.800000000000002E-9     0.45798507084805967
1.0E-6                   9.900000000000001E-9     0.5182345336511122
1.0E-6                   1.0000000000000002E-8    -0.04748235964953077
1.0E-6                   1.0100000000000001E-8    -0.26655626105456653
1.0E-6                   1.0200000000000002E-8    0.7636269624827088
1.0E-6                   1.0300000000000001E-8    1.2608497823244509
1.0E-6                   1.0400000000000002E-8    -0.19633885107766455
1.0E-6                   1.0500000000000001E-8    -1.260826245360694
1.0E-6                   1.0600000000000002E-8    0.4430859671755954
1.0E-6                   1.0700000000000002E-8    2.3724747903117454
1.0E-6                   1.0800000000000002E-8    0.6155018057834792
1.0E-6                   1.0900000000000002E-8    -1.8504805366672796
1.0E-6                   1.1000000000000003E-8    -0.3250971994364207
1.0E-6                   1.1100000000000002E-8    1.9484706060758226
1.0E-6                   1.1200000000000001E-8    0.8315662212745281
1.0E-6                   1.1300000000000002E-8    -0.7258361894758673
1.0E-6                   1.1400000000000001E-8    0.011005191443415418
1.0E-6                   1.1500000000000002E-8    0.5650956054168307
1.0E-6                   1.1600000000000001E-8    0.2426981407222393
1.0E-6                   1.1700000000000002E-8    0.39284903965337553
1.0E-6                   1.1800000000000001E-8    0.2333917056213851
1.0E-6                   1.1900000000000002E-8    -0.07404016597227071
1.0E-6                   1.2000000000000002E-8    0.5675459920345807
1.0E-6                   1.2100000000000002E-8    0.7676674109715029
1.0E-6                   1.2200000000000002E-8    0.017095013009612078
